Year,Epi_Week,Suspected_Cases,Confirmed_Cases,Deaths,CFR,Total_Cases,States
2021,3,11,0,0,0,11,"Adamawa, Nasarawa"
2021,4,2,0,0,0,2,"Crossriver, Nasarawa"
2021,5,87,1,5,5.75,88,"Bayelsa, kaduna, Kogi"
2021,6,12,0,0,0,12,"Delta, Kaduna, Kano"
2021,7,38,0,0,0,38,"Bauchi, Kogi"
2021,8,4,0,0,0,4,"Bauchi, Delta"
2021,9,29,0,0,0,29,Benue
2021,10,11,0,0,0,11,Oyo
2021,11,71,0,7,9.86,71,"Bayelsa, Kebbi"
2021,12,19,1,0,0,20,"Bayelsa, Kogi"
2021,13,151,0,9,5.96,151,Bayelsa
2021,14,431,4,13,3.02,435,"Bayelsa, Kano, Kebbi, Nasarawa"
2021,15,166,0,11,6.63,166,"Bayelsa, Kano,"
2021,16,235,0,13,5.53,235,"Bauchi, Bayelsa, kaduna, kano, Zamfara"
2021,17,264,1,13,4.92,265,"Bayelsa, Kaduna, Kano, Kogi"
2021,18,34,0,6,17.65,34,"Kaduna, Nasarawa"
2021,19,86,5,6,6.98,91,"Bauchi, Bayelsa, Delta "
2021,20,212,0,1,0.47,212,"Bauchi, Bayelsa, Delta, Kano, Kebbi"
2021,21,616,30,18,2.92,646,"Bauchi, Kano, Kwara, Plateau"
2021,22,204,0,2,0.98,204,"kano, Kwara, Plateau"
2021,23,376,3,4,1.06,379,"Kano, Kwara, Plateu, Yobe "
2021,24,2008,149,15,0.75,2157,"Bauchi, Bayelsa, Fct, Kano, Plateau"
2021,25,939,1,18,1.92,940,"Ebonyi, Fct, Kano,  Kebbi, Plateau"
2021,27,2559,5,30,1.17,2564,"Adamawa, Bauchi, Bayelsea , Ebonyi, Kano, KebbiI, Kogi, Plateau, Taraba"
2021,28,534,15,18,3.37,549,"Bauchi, Borno, Enugu, FCT, Kaduna, Kebbi,  Kogi, Kwara, Plateau "
2021,29,1554,0,20,1.29,1554,"Bauchi, FCT, Kaduna, Kano, Kebbi, Plateau"
2021,30,1699,3,86,5.06,1702,"Adamawa, Bauchi, Borno, Niger, Kastina, FCT, Jigawa, Kano, "
2021,31,2156,0,101,4.68,2156,"Adamawa, Kano, Kogi, Kebbi, Kastina, Jigawa, Niger, Sokoto, Yobe, Zamfara"
2021,32,4545,1,74,1.63,4546,"Adamawa, Borno, FCT,  Kano, Kogi, Kebbi, Kastina, Jigawa, Niger, Plateau, Nassarawa, Sokoto, Yobe, Zamfara"
2021,33,2910,3,94,3.23,2913,"Adamawa, Bauchi, Borno, Kano, Kastina, Kebbi, Jigawa, Niger, Sokoto, Yobe, Nassarawa"
2021,45,477,5,14,2.94,482,"Borno, Taraba, Nasarawa, Kebbi, Kastina, Adamawa, Bauchi, Enugu, Abia"
2021,46,352,0,4,1.14,352,"Adamawa, Borno, Kebbi, Kastina, Benue, Enugu, Lagos"
2021,48,233,0,3,1.29,233,"Bauchi, Kebbi, Nasarawa, Ogun, Bayelsa, Taraba, Ebonyi"
2022,18,38,0,1,2.63,38,"Kastina, Kebbi, kano, Bauchi, Adamawa"
2022,19,120,0,0,0,120,"Crossriver, Kano, Kastina"
2022,20,93,7,0,0,100,"Ondo, kastina, Kano, Bauchi, Plateau, Abia, Osun"
2022,21,55,2,0,0,57,"Abia, Zamfara, Kastina, Kaduna, Bauchi, Plateau, Taraba, Imo"
2022,22,60,185,0,0,245,"Abia, Crossriver, Bauchi, Kastina, Nasarawa, Plateau"
2022,23,76,0,1,1.32,76,"Bauchi, Kastina, Kano,Taraba, Benue"
2022,24,81,0,1,1.23,81,"Kastina, Bauchi, Kano, Nasarawa, Plateau, Taraba, abia"
2022,25,39,1,0,0,40,"Bauchi, kastina, Bauchi, Kano,Taraba"
2022,26,54,0,0,0,54,"Zamfara, Bauchi, Plateau, Nasarawa, Kastina"
2022,27,53,0,1,1.89,53,"Bayelsa, Taraba, Plateau, Zamfara, Kebbi, Bauchi"
2022,28,201,0,2,1,201,"Bauchi, Zamfara, Kano, Plateau, Kastina, Borno, Abia, "
2022,29,1554,0,20,1.29,1554,"Abia, Borno, Taraba, Plateau, Bauchi, Kano, Kastina,Sokoto, "
2022,30,301,18,6,1.99,319,"Borno, kastina,Taraba,Yobe, Kaduna, Bauchi, Zamfara, kano"
2022,31,220,4,7,3.18,224,"Zamfara, Kaduna, Borno, Yobe, Taraba, Abia, Bauchi, Kastina, Kano"
2022,32,250,7,2,0.8,257,"Bauchi, Kaduna, Crossrriver, Kastina, yobe, Zamfara, osun"
2023,27,35,1,1,2.86,36,"Borno, Adamawa, Kano, Jigawa, Ebonyi, Katsina, Yobe"
2023,28,38,6,3,7.89,44,"Borno, Bauchi, Kano, Katsina, Bayelsa, Cross River, and Ebonyi"
2023,29,10,1,3,30,11,Borno
2023,30,4,0,0,0,4,"Niger, Adamawa"
2023,31,11,0,0,0,11,"Zamfara, Kano, Gombe"
2023,32,3,0,1,33.33,3,"Kano, Borno"
2023,33,1,0,0,0,1,Adamawa
2023,35,76,3,4,5.26,79,"Zamfara, Niger, Bauchi, Oyo"
2023,36,71,4,1,1.41,75,"Zamfara, Niger, Adamawa"
2023,37,43,4,1,2.33,47,"Zamfara, Jigawa, Oyo, Ogun,  Bayelsa"
2023,38,27,0,1,3.7,27,"Adamawa, Ogun"
2023,40,6,0,0,0,6,"Borno, Adamawa, Ogun, Oyo"
2023,41,5,0,0,0,5,"Ogun, Oyo"
2023,42,19,0,0,0,19,"Ogun, Osun, Bayelsa, Gombe, Adamawa"
2023,43,19,1,0,0,20,"Gombe, Adamawa, Ogun, Osun, bayelsa"
2023,44,7,1,0,0,8,"Ogun, Adamawa, Bayelsa"
2023,45,5,1,1,20,6,"Kano, Adamawa, Osun, Delta"
2023,46,55,0,4,7.27,55,"Oyo, Delta, Katsina, Kebbi, Niger"
2023,47,36,1,8,22.22,37,"Ogun, Delta, Bayelsa, Kebbi, Niger, Katsina, Kano"
2023,48,8,0,2,25,8,"Kano, Adamawa, Osun, Delta"
2023,49,7,0,1,14.29,7,"Ogun, Oyo"
2024,1,91,0,1,1.1,91,"Kano, Cross River, Benue, Bayelsa, Delta"
2024,2,86,0,1,1.16,86,"Kano, Bayelsa, Delta, Cross River, Benue"
2024,3,80,0,1,1.25,80,"Kebbi, Zamfara, Katsina, Kano, bayelsa, Delta, Ekiti, Imo, Abia, Cross River"
2024,5,79,0,,0,79,"Zamfara, Bauchi, Niger, Cross River, Benue, Ebonyi, Bayelsa, Rivers, Imo, Osun, Ondo"
2024,6,74,0,2,2.7,74,"Osun, ondo, Delta, Bayelsa, Edo, Zamfara, Katsina, Gombe"
2024,7,114,0,4,3.51,114,"Zamfara, Katsina, Kano, Bauchi, Gombe, Ogun, Osun, Ekiti, Bayelsa, Rivers, Akwa Ibom, Delta, Imo, Ebonyi"
2024,8,87,0,3,3.45,87,"Ogun, Osun, Ondo, Zamfara, Bauchi, Nassarawa, Rivers, Imo, Abia, Ebonyi"
2024,9,93,1,3,3.23,94,"Niger, Zamfara, Katsina, Jigawa, Borno, Osun, Ondo, Bayelsa, Delta, Rivers, Imo, Abia, Ebonyi"
2024,10,54,0,0,0,54,"Bayelsa, Imo, Anambra, Osun, Ekiti, Ondo, Zamfara, Bayelsa, Anambra, "
2024,11,31,1,1,3.23,32,"Zamfara, Bauchi, Osun, Ondo, Delta, Bayelsa, Rivers, Imo, Akwa Ibom, Ebonyi"
2024,12,112,0,1,0.89,112,"Katsina, Kano, Niger, Osun, Delta, Bayelsa, Imo, Abia, Ebonyi"
2024,13,24,0,0,0,24,"Katsina, Niger, Delta, Bayelsa, Imo, Abia, Akwa ibom, Ebonyi"
2024,14,15,0,0,0,15,"Niger, Delta, Imo, Abia, Akwa Ibom, Ebonyi"
2024,15,25,0,1,4,25,"Zamfara, Katsina, Bayelsa, Imo, Abia, Ebonyi"
2024,16,66,0,2,3.03,66,"Zamfara, Katsina, Delta, Bayelsa, Imo, Abia, Ebonyi, Taraba"
2024,17,44,0,0,0,44,"Zamfara, Katsina, Kano, Ondo, Osun, Bayelsa, Akwa Ibom, Imo, Ebonyi, Abia"
2024,18,24,0,1,4.17,24,"Zamfara, Katsina, Kano, Bauchi,  Adamawa, Bayelsa, Abia, Akwa Ibom,Ebonyi"
2024,19,10,0,0,0,10,"Katsina, Bauchi, Kwara, Osun, Ondo, Bayelsa, Abia "
2024,20,26,0,0,0,26,"Sokoto, Katsina, Osun, FCT, Bayelsa, Imo, Abia, Ebonyi"
2024,21,49,0,0,0,49,"Zamfara, Katsina, Niger, Bauchi, Osun, Ekiti, Lagos, Bayelsa, Imo, Abia, Ebonyi,"
2024,22,25,0,1,4,25,"Sokoto, Katsina, Osun, FCT, Bayelsa, Imo, Abia, Ebonyi"
2024,23,241,6,0,0,247,"Sokoto, Katsina, Bayelsa, Imo, Abia, Ebonyi, Bauchi, Ogun, Lagos, Rivers"
2024,24,709,27,35,4.94,736,"Katsina, Bauchi, Oyo, Lagos, Ogun, Osun, Ondo, Kogi, Bayelsa, Rivers, Imo, Abia, Ebonyi, "
2024,25,713,8,26,3.65,721,"Katsina, Jigawa, Bauchi, Gombe, Borno, FCT, Benue, Kogi, Ekiti, ondo, Osun,Ogun, Lagos, Oyo, Bayelsa, Rivers, Imo, Abia, Ebonyi, Kaduna, Akwa Ibom"
2024,36,721,11,30,4.16,732,"Sokoto, Zamfara, Katsina, Jigawa, Kano, Yobe, Bauchi, Borno, Kaduna, Nassarawa, Kogi, Edo, Oyo, Ogun, Lagos, "
2024,37,1128,68,73,6.47,1196,"Kebbi, Zamfara, Katsina, Kano, Sokoto, Kaduna, Niger, Bauchi, Jigawa, Yobe, Borno, Adamawa, Oyo, Ogun, Lagos, Bayelsa, Imo, Ebonyi, Akwa Ibom"
2024,38,1323,39,51,3.85,1362,"Kebbi, Zamfara, Katsina, Kano, Sokoto, Kaduna, Niger, Bauchi, Jigawa, Yobe, Borno, Adamawa, Oyo, Ogun, Lagos, Imo, Ebonyi, Akwa Ibom, Kogi, FCT"
2024,39,1452,42,73,5.03,1494,"Kebbi, Sokoto, Katsina, Kaduna, Kano, Jigawa, Bauchi, Borno, Adamawa, Oyo, Ogun, Edo, Bayelsa, Akwa Ibom, Ebonyi, Benue "
2024,40,877,12,29,3.31,889,"Kebbi, Sokoto, Katsina, Kaduna, Kano, Jigawa, Bauchi, Borno, Adamawa, Oyo, Edo, Bayelsa, Ebonyi, Benue, Nassarawa, FCT"
2024,41,1108,21,20,1.81,1129,"Kebbi, Sokoto, Katsina, Kaduna, Jigawa, Bauchi, Borno, Adamawa, Oyo, Enugu, Bayelsa, Ebonyi, Benue, Nassarawa, FCT, Plateau"
2024,42,852,18,35,4.11,870,"Kebbi, Sokoto, Kaduna, Plateau, Borno, Adamawa, FCT, Benue, Enugu, Ebonyi, Oyo, Bayelsa"
2024,43,764,5,24,3.14,769,"Sokoto, Kebbi, Niger, Kaduna,  Kano, Katsina, Jigawa, Bauchi, Yobe, Borno, Adamawa, Plateau, Enugu, Ebonyi, Bayelsa, Ondo, Oyo"
2024,44,448,14,26,5.8,462,"Kebbi, Sokoto, Niger, Katsina, kaduna, Kano, Bauchi, Yobe, Borno, Plateau, Taraba, Benue, Nassarawa, Oyo, Enugu, Ebonyi, Bayelsa, Oyo"
2024,45,351,14,9,2.56,365,"Kebbi, Sokoto, Kaduna, Plateau, Taraba, Benue, Bayelsa, Akwa Ibom, Oyo"
2024,46,777,1,13,1.67,778,"Sokoto, Jigawa, Nassarawa, Bayelsa"
2024,47,532,0,8,1.5,532,"Sokoto, kano, Kaduna, Plateau, Gombe, Borno, Adamawa, Oyo, Bayelsa, "
2024,48,397,1,3,0.76,398,"Kebbi, Sokoto, Katsina, Kaduna, Kano, Jigawa, Plateau, Gombe, Borno, Adamawa, Kwara, Oyo, Ogun, "
2024,49,78,0,1,1.28,78,"Sokoto, Kano, Jigawa, Yobe, Borno, Gombe, Oyo"
2024,50,19,0,1,5.26,19,"Sokoto, Katsina, Jigawa, Taraba, Gombe, Borno, Delta, Bayelsa, Rivers"
2024,51,68,0,7,10.29,68,"Sokoto, Gombe, Nassarawa, Benue, Ondo, Bayelsa, Rivers, Abia"
2024,52,65,1,3,4.62,66,"Kebbi, Kano, Bayelsa, Rivers, Akwa Ibom, Gombe"
2025,1,17,1,2,11.76,18,"Niger, Oyo, Osun, Ondo,, Rivers, Gombe"
2025,2,41,0,0,0,41,"Kebbi, Katsina, Jigawa, Bauchi, Borno, Taraba, Plateau, Nassarawa, Kogi, Enugu, Anambra, Abia, Akwa ibom, Cross River, Benue, Ogun, Lagos, Ondo, "
2025,3,69,2,4,5.8,71,"Kebbi, Sokoto, Niger, Bauchi, Yobe, Borno, Adamawa, Osun, Ekiti, Delta, Bayelsa, Rivers, Akwa Ibom, Abia"
2025,4,27,0,2,7.41,27,"Niger, Bauchi, Imo, Abia, Akwa Ibom, Ekiti"
2025,5,140,2,0,0,142,"Oyo, Lagos, Benue, Enugu, Imo, Abia, Akwa Ibom, Rivers, Bayelsa, Delta"
2025,6,72,0,3,4.17,72,"Bauchi, Osun, Ekiti, Benue, Imo, Abia, Delta, Bayelsa, Rivers"
2025,7,53,3,5,9.43,56,"Kebbi, Nassarawa, Kogi, Taraba, Delta, Bayelsa, Rivers, Akwa Ibom, Imo, Abia"
2025,8,18,0,4,22.22,18,"Bauchi, Borno, Delta, Rivers"
2025,9,5,3,0,0,8,"Bauchi, Adamawa, Osun"
2025,10,21,2,0,0,23,"Kebbi, Katsina, Adamawa, Ondo, Lagos"
2025,11,21,2,0,0,23,"Niger, Gombe, Adamawa, Lagos"
2025,12,19,0,0,0,19,"Gombe, Adamawa, Lagos, Ekiti, Kogi,"
